Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5001,PP (hot)|0-15yr|WF,0.266500,0.0,0.000000,0.375807,0.25,0.100000,0.400000,0.700000,4.000000,0.000000,0.000000,0.100000,0.100000,0.000000,6.101156800000001,1.5252892000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5002,PP (hot)|15-40yr|PCT,0.431250,1.52,0.200000,1.132265,0.1,0.200000,1.500000,3.400000,3.400000,0.500000,0.000000,2.000000,0.800000,0.000000,7.4251928,1.8562982,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5003,PP (hot)|15-40yr|PCT-Rx,0.086250,0.76,0.100000,0.564316,0.15,0.100000,1.000000,2.000000,2.500000,0.500000,0.000000,1.000000,0.300000,0.000000,7.4251928,1.8562982,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5004,PP (hot)|15-40yr|High juniper density,0.862500,1.52,0.200000,1.132265,0.05,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,10.4792032,2.6198008,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5005,PP (hot)|15-40yr,0.862500,1.52,0.200000,0.753229,0.1,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,10.872067200000002,2.7180168000000005,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5006,PP (hot)|15-40yr|Cheat,0.862500,1.52,0.200000,0.564316,0.15,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,7.455074400000001,1.8637686000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5007,PP (hot)|40-80yr|Rx,0.084150,0.24,0.100000,1.132265,0.2,0.200000,0.750000,2.800000,3.000000,0.200000,0.000000,1.000000,0.200000,0.000000,10.5627016,2.6406754,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5008,PP (hot)|40-80yr|Shrub,1.610000,1.536,0.200000,1.322388,0.1,0.500000,2.000000,3.800000,3.600000,2.500000,2.000000,2.500000,2.200000,0.000000,11.3664032,2.8416008,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5009,PP (hot)|40-80yr|SC-PB|High density,0.172500,2.4,0.300000,0.602066,0.15,0.100000,0.200000,0.200000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,10.3575,2.589375,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5010,PP (hot)|40-80yr|SC-Rx,0.172500,2.4,0.300000,0.602066,0.15,0.100000,1.000000,2.500000,2.500000,0.500000,0.000000,1.000000,1.000000,0.000000,10.3575,2.589375,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5011,PP (hot)|40-80yr|SC-Pile,0.862500,2.4,0.300000,0.942545,0.1,0.300000,1.200000,1.500000,0.500000,0.500000,0.000000,1.000000,2.000000,0.000000,10.1273992,2.5318498,User Supplied,User Supplied,User Supplied,User Supplied
