Reg,Reg,Reg,Reg,Fuelbed_number,Fuelbed_Name,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG,Flame EF,Duff EF,Smolder 1K EF
P,I,N,S,5001_111,PP (hot)|0-15yr|WF,0.149906,0.0,0,0.187702,0.125,0.05,0.2,0.35,3.6,0,0,0.09,0.09,0,6.061702400000001,1.5154256000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_112,PP (hot)|0-15yr|WF,0.266367,0.0,0,0.23469,0.25,0.0625,0.25,0.4375,2.7,0,0,0.99,0.09,0,5.471314400000001,1.3678286000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_113,PP (hot)|0-15yr|WF,0.266367,0.0,0,0.375807,0.25,0.1,0.4,0.7,1.35,0,0,2.34,0.09,0,5.471314400000001,1.3678286000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_121,PP (hot)|0-15yr|WF,0.016656,0.0,0,0.0938,0.0625,0.025,0.1,0.175,3,0,0,0.075,0.075,0,5.9827896,1.4956974,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_122,PP (hot)|0-15yr|WF,0.066625,0.0,0,0.187702,0.25,0.03125,0.125,0.21875,2.25,0,0,0.825,0.075,0,5.9748976,1.4937244,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_123,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375807,0.25,0.033,0.132,0.231,1.125,0,0,1.95,0.075,0,3.2591144,0.8147786,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_131,PP (hot)|0-15yr|WF,0.000666,0.0,0,0.018752,0.0125,0.005,0.02,0.035,2,0,0,0.05,0.05,0,5.9137408,1.4784352,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_132,PP (hot)|0-15yr|WF,0.066625,0.0,0,0.187702,0.25,0.0075,0.03,0.0525,1.5,0,0,0.55,0.05,0,5.9127528,1.4781882,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_133,PP (hot)|0-15yr|WF,0.2665,0.0,0,0.375807,0.25,0.033,0.132,0.231,0.75,0,0,1.3,0.05,0,1.3372496,0.3343124,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_211,PP (hot)|0-15yr|WF,0.416406,0.0,0,0.281704,0.1875,0.5,1,0.875,4,0,0,0.1,0.1,0,5.580844000000001,1.3952110000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_212,PP (hot)|0-15yr|WF,0.416406,0.0,0,0.309924,0.234375,0.375,0.75,0.65625,3,0,0,1.1,0.1,0,5.580844000000001,1.3952110000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_213,PP (hot)|0-15yr|WF,0.416406,0.0,0,0.340977,0.292969,0.1875,0.375,0.328125,3,0,0,2.6,0.1,0,5.580844000000001,1.3952110000000002,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_221,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.187702,0.125,1,2,1.05,4,0,0,0.1,0.1,0,4.9761848,1.2440462,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_222,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.23469,0.1875,0.75,1.5,0.7875,3,0,0,1.1,0.1,0,4.9761848,1.2440462,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_223,PP (hot)|0-15yr|WF,0.599625,0.0,0,0.293461,0.28125,0.375,0.75,0.39375,3,0,0,2.6,0.1,0,4.9761848,1.2440462,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_231,PP (hot)|0-15yr|WF,0.816156,0.0,0,0.0938,0.0625,1.5,3,1.5,4,0,0,0.1,0.1,0,2.488092,0.622023,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_232,PP (hot)|0-15yr|WF,0.816156,0.0,0,0.140739,0.09375,1.125,2.25,1.125,3,0,0,1.1,0.1,0,2.488092,0.622023,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_233,PP (hot)|0-15yr|WF,0.816156,0.0,0,0.211193,0.140625,0.5625,1.125,0.5625,3,0,0,2.6,0.1,0,2.488092,0.622023,User Supplied,User Supplied,User Supplied,User Supplied
P,I,N,S,5001_311,PP (hot)|0-15yr|WF,0.149906,0.0,0,0.281704,0.1875,0.075,0.3,0.525,3.6,0,0,0.09,0.09,0,5.580844000000001,1.3952110000000002,User Supplied,User Supplied,User Supplied,User Supplied
