GeneratorName=FCCS 4.0,GeneratorVersion=3.0.0,DateCreated=04/12/2024
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,shrubs_needledrape_loading,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
5001,FB_5001_R6.xml,237,330.000000,7.379844,0.000000,0.246602,0.000000,0.000000,0.000000,4.476958,2.312794,0.375807,0.000000,80.000000,0.000000,0.000000,0.250000,0.000000,90.000000,0.000000,0.100000,0.400000,0.700000,4.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.200000,0.266500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.708506,13,13
5002,FB_5002_R6.xml,237,330.000000,8.117071,0.000000,1.164420,0.000000,0.000000,0.000000,0.000000,3.686906,1.132265,0.000000,60.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.200000,1.500000,3.400000,3.400000,0.500000,0.000000,2.000000,0.800000,0.000000,0.501096,0.000000,0.000000,0.300000,0.431250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,1.520000,0.000000,0.000000,0.000000,32.451912,13,13
5003,FB_5003_R6.xml,237,330.000000,8.117071,0.000000,1.164420,0.000000,0.000000,0.000000,0.000000,3.686906,0.564316,0.000000,60.000000,0.000000,1.500000,0.150000,0.000000,90.000000,0.000000,0.100000,1.000000,2.000000,2.500000,0.500000,0.000000,1.000000,0.300000,0.000000,0.549774,0.000000,0.000000,0.100000,0.086250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.100000,0.760000,0.000000,0.000000,0.000000,26.428965,13,13
5004,FB_5004_R6.xml,237,330.000000,7.379844,0.000000,5.719160,0.000000,0.000000,0.000000,0.000000,3.686906,1.132265,0.000000,80.000000,0.000000,0.000000,0.050000,0.000000,90.000000,0.000000,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,0.000000,0.000000,0.000000,0.500000,0.862500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,1.520000,0.000000,0.000000,0.000000,35.850674,13,13
5005,FB_5005_R6.xml,237,330.000000,7.379844,0.000000,6.210240,0.000000,0.000000,0.000000,0.000000,3.686906,0.753229,0.000000,80.000000,0.000000,0.000000,0.100000,0.000000,90.000000,0.000000,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,0.000000,0.000000,0.000000,0.500000,0.862500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,1.520000,0.000000,0.000000,0.000000,36.012722,13,13
5006,FB_5006_R6.xml,237,330.000000,7.379844,0.000000,1.938999,0.000000,0.000000,0.000000,0.000000,3.686906,0.564316,0.000000,80.000000,0.000000,0.000000,0.150000,0.000000,90.000000,0.000000,0.100000,1.000000,2.500000,1.700000,2.500000,0.000000,2.500000,2.200000,0.000000,0.000000,0.000000,0.000000,0.500000,0.862500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.200000,1.520000,0.000000,0.000000,0.000000,31.602566,13,13
5007,FB_5007_R6.xml,237,330.000000,7.413233,5.502518,0.287626,0.000000,4.980566,0.000000,0.000000,0.955765,1.132265,0.000000,90.000000,0.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.200000,0.750000,2.800000,3.000000,0.200000,0.000000,1.000000,0.200000,0.000000,0.000000,0.287159,0.000000,0.100000,0.084150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.100000,0.240000,0.000000,0.000000,0.000000,27.252716,13,13
5008,FB_5008_R6.xml,237,330.000000,7.413233,6.603020,0.191751,0.000000,5.071044,0.000000,0.000000,0.955765,1.322388,0.000000,30.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,2.000000,3.800000,3.600000,2.500000,2.000000,2.500000,2.200000,0.000000,0.000000,0.287159,0.000000,0.800000,1.610000,0.000000,0.000000,0.000000,0.000000,0.002253,0.000000,3.000000,0.100000,0.180000,0.200000,1.536000,0.000000,0.000000,0.000000,43.801571,13,13
5009,FB_5009_R6.xml,237,330.000000,4.942154,7.525344,0.479377,0.000000,0.000000,0.000000,0.000000,0.955765,0.602066,0.000000,70.000000,0.000000,1.500000,0.150000,0.000000,90.000000,0.000000,0.100000,0.200000,0.200000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.224491,0.287159,0.000000,0.200000,0.172500,0.000000,0.000000,0.000000,0.000000,0.006500,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,23.880867,13,13
5010,FB_5010_R6.xml,237,330.000000,4.942154,7.525344,0.479377,0.000000,0.000000,0.000000,0.000000,0.955765,0.602066,0.000000,70.000000,0.000000,1.500000,0.150000,0.000000,90.000000,0.000000,0.100000,1.000000,2.500000,2.500000,0.500000,0.000000,1.000000,1.000000,0.000000,0.000000,0.287159,0.000000,0.200000,0.172500,0.000000,0.000000,0.000000,0.000000,0.006500,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,30.980867,13,13
5011,FB_5011_R6.xml,237,330.000000,4.942154,7.525344,0.191751,0.000000,0.000000,0.000000,0.000000,0.955765,0.942545,0.000000,70.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.300000,1.200000,1.500000,0.500000,0.500000,0.000000,1.000000,2.000000,0.000000,0.000000,0.287159,0.000000,0.500000,0.862500,0.000000,0.000000,0.000000,0.000000,0.006500,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.113369,0.000000,0.000000,30.187090,13,13
5012,FB_5012_R6.xml,237,330.000000,7.413233,8.339944,0.383502,0.000000,5.071044,0.000000,0.000000,0.955765,0.753229,0.000000,70.000000,0.000000,1.500000,0.150000,0.000000,90.000000,0.000000,0.400000,1.300000,2.500000,3.000000,1.500000,0.000000,1.000000,2.000000,0.000000,0.000000,0.306303,0.000000,0.500000,0.862500,0.000000,0.000000,0.000000,0.000000,0.009424,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,38.133904,13,13
5013,FB_5013_R6.xml,237,330.000000,4.942154,5.003965,0.191751,0.000000,0.000000,0.000000,0.000000,0.955765,0.602066,0.000000,70.000000,0.000000,1.500000,0.150000,0.000000,90.000000,0.000000,0.100000,0.200000,0.200000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,1.145363,0.000000,0.000000,0.500000,0.862500,0.000000,0.000000,0.000000,0.000000,0.006299,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,21.474503,13,13
5014,FB_5014_R6.xml,237,330.000000,7.413233,17.314594,0.095875,0.000000,5.071044,0.000000,0.000000,0.955765,0.942545,0.000000,70.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.400000,1.500000,3.000000,2.500000,2.500000,0.000000,2.000000,2.000000,0.000000,0.000000,0.147025,0.000000,0.800000,1.610000,0.000000,0.000000,0.000000,0.000000,0.008612,0.000000,0.500000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,47.247650,13,13
5015,FB_5015_R6.xml,237,330.000000,8.117071,8.201428,0.004932,0.000000,0.000000,0.000000,0.000000,0.955765,0.602066,0.000000,70.000000,0.000000,1.500000,0.170000,0.000000,90.000000,0.000000,0.200000,1.200000,2.800000,2.200000,1.800000,0.000000,1.800000,1.200000,0.000000,0.000000,0.000000,0.000000,0.800000,1.570800,0.000000,0.000000,0.000000,0.000000,0.010306,0.000000,3.000000,0.200000,0.360000,0.300000,2.400000,0.000000,0.000000,0.000000,38.092369,13,13
5016,FB_5016_R6.xml,237,330.000000,4.942154,5.698902,0.004932,0.000000,2.616042,0.000000,3.574957,0.000000,0.375807,0.000000,80.000000,0.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.100000,0.700000,2.500000,3.000000,0.800000,0.000000,0.500000,0.100000,0.000000,0.000000,0.000000,0.000000,0.200000,0.336600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,26.083351,13,13
5017,FB_5017_R6.xml,237,330.000000,4.942154,9.015139,0.618634,0.000000,0.000000,0.000000,3.652354,0.000000,0.564316,0.000000,80.000000,0.000000,0.000000,0.150000,0.000000,90.000000,0.000000,0.100000,0.500000,0.900000,0.400000,1.000000,0.000000,0.400000,0.300000,0.000000,0.458145,0.000000,0.000000,0.200000,0.287500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.100000,0.090000,0.100000,0.160000,0.000000,0.000000,0.000000,26.080099,13,13
5018,FB_5018_R6.xml,237,330.000000,2.471077,8.597229,0.388140,0.000000,10.045338,0.000000,3.652354,0.000000,1.132265,0.000000,80.000000,0.000000,0.000000,0.100000,0.000000,90.000000,0.000000,1.000000,2.200000,4.000000,12.000001,6.000000,0.800000,2.700000,2.700000,0.400000,0.000000,0.000000,0.000000,1.000000,2.300000,0.000000,0.000000,0.000000,0.000000,0.001889,0.000000,3.000000,0.300000,3.240000,0.300000,2.280000,0.000000,0.000000,0.000000,58.962955,13,13
5019,FB_5019_R6.xml,237,330.000000,4.942154,38.919727,0.000000,0.000000,7.110608,0.000000,3.652354,0.000000,1.132265,0.000000,80.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,1.500000,3.100000,2.600000,3.000000,0.500000,0.900000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.300000,0.000000,0.000000,0.000000,0.000000,0.006142,0.000000,3.000000,0.200000,2.160000,0.300000,2.400000,0.000000,0.000000,0.000000,74.212646,13,13
5020,FB_5020_R6.xml,237,330.000000,4.942154,18.996332,0.024660,0.000000,13.080208,0.000000,3.652354,0.000000,1.322388,0.000000,70.000000,0.000000,1.500000,0.100000,0.000000,90.000000,0.000000,0.500000,1.500000,2.800000,3.000000,2.000000,1.500000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,2.300000,0.000000,0.000000,0.000000,0.000000,0.006351,0.000000,0.500000,0.200000,0.360000,0.200000,1.536000,0.000000,0.000000,0.000000,49.040245,13,13
