FB_0029_FCCS_113,Variable,FB_0165_FCCS_112,FB_0067_FCCS_111,FB_0069_FCCS_111,FB_0175_FCCS_113,FB_0175_FCCS_111,FB_0087_FCCS_113,FB_0170_FCCS_113,FB_0109_FCCS_112,FB_0125_FCCS_113,FB_0067_FCCS_112,FB_0087_FCCS_111,FB_0291_FCCS_113,FB_0291_FCCS_111,FB_0125_FCCS_112,FB_0066_FCCS_112,FB_0067_FCCS_113,FB_0046_FCCS_111,FB_0077_FCCS_112,FB_0071_FCCS_113,FB_0066_FCCS_111,FB_0029_FCCS_112,FB_0077_FCCS_111,FB_0069_FCCS_113,FB_0165_FCCS_111,FB_0170_FCCS_112,FB_0109_FCCS_111,FB_0175_FCCS_112,FB_0125_FCCS_111,FB_0029_FCCS_111,FB_0071_FCCS_112,FB_0109_FCCS_113,FB_0087_FCCS_112,FB_0071_FCCS_111,FB_0077_FCCS_113,FB_0291_FCCS_112,FB_0046_FCCS_112,FB_0170_FCCS_111,FB_0046_FCCS_113,FB_0066_FCCS_113,FB_0165_FCCS_113,FB_0069_FCCS_112
0,eADDRESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,eAFFILIATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,eCANOPY_LADDER_FUELS_MAXIMUM_HEIGHT,0,58,0,0,0,4,0,15,0,58,4,0,0,0,0,58,0,50,0,0,0,50,0,0,0,15,0,0,0,0,15,4,0,50,0,0,0,0,0,0,0
0,eCANOPY_LADDER_FUELS_MINIMUM_HEIGHT,0,28,0,0,0,0,0,5,0,28,0,0,0,0,0,28,0,5,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_DIAMETER,0,0,0,0,0,3.5,0,13,7,0,3.5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,13,3.5,0,0,0,0,0,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_HEIGHT,0,0,0,0,0,25,0,55,45,0,25,0,0,45,0,0,0,0,0,0,0,0,0,0,0,55,0,45,0,0,55,25,0,0,0,0,0,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_STEM_DENSITY,0,0,0,0,0,100,0,5,15,0,100,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,15,0,0,5,100,0,0,0,0,0,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_DIAMETER,0,20.6,2.8,0,0,0,0,9,9,20.6,2.9,0,12,9,0,20.6,0,0,0,0,0,29,0,12,0,9,0,9,9.6,0,9,0,10.6,0,0,0,6,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT,0,71,7.2,0,0,0,0,50,50,71,25,0,78,50,0,71,0,0,0,0,0,110,0,70,0,50,0,50,100,0,50,0,34.7,0,0,0,25,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT_TO_CROWN_BASE,0,47.357,0.8,0,0,0,0,33.35,33.35,47.357,4,0,55,33.35,0,47.357,0,0,0,0,0,68,0,45,0,33.35,0,33.35,20,0,33.35,0,13.2,0,0,0,10.5,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_PERCENT_COVER,0,6.43152,0.2,0,0.0,0,0,0.5071,0.10142,1.43152,8.0,0,6.0,0.10142,0,1.43152,0.0,0,0,0.0,0,8.4,0,0.5,0,9.0071,0,8.60142,4.0,0,0.5071,0,2.5,0,0,0,2.0,0,0,0,0
0,eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_STEM_DENSITY,0,24.0,3.6,0,0.0,0,0,5,1,7,350.0,0,10.0,1,0,7,0.0,0,0,0.0,0,11.5,0,2.5,0,24.5,0,23.5,1.2000000000000002,0,5,0,10.600000000000001,0,0,0,6.0,0,0,0,0
0,eCANOPY_SNAGS_CLASS_2_DIAMETER,0,20.6,0,0,0,3.5,5,11,7,20.6,3.5,12,12,7,0,20.6,0,11.3,0,0,0,11.3,0,0,5,11,0,7,0,0,11,3.5,0,11.3,12,0,5,0,0,0,0
0,eCANOPY_SNAGS_CLASS_2_HEIGHT,0,65,0,0,0,20,20,50,40,65,20,70,70,40,0,65,0,51.3,0,0,0,51.3,0,0,20,50,0,40,0,0,50,20,0,51.3,70,0,20,0,0,0,0
0,eCANOPY_SNAGS_CLASS_2_STEM_DENSITY,0,7,0,0,0,150,4,10,15,7,150,3,3,15,0,7,0,5,0,0,0,5,0,0,4,10,0,15,0,0,10,150,0,5,3,0,4,0,0,0,0
9,eCANOPY_SNAGS_CLASS_3_DIAMETER,0,20.6,0,0,0,3.5,5,11,7,20.6,3.5,10,10,7,0,20.6,0,11.3,0,0,9,11.3,0,0,5,11,0,7,9,0,11,3.5,0,11.3,10,0,5,0,0,0,0
60,eCANOPY_SNAGS_CLASS_3_HEIGHT,0,50,0,0,0,15,15,40,20,50,15,60,60,20,0,50,0,26,0,0,60,26,0,0,15,40,0,20,60,0,40,15,0,26,60,0,15,0,0,0,0
3,eCANOPY_SNAGS_CLASS_3_STEM_DENSITY,0,7,0,0,0,150,3,5,15,7,150,3,3,15,0,7,0,60,0,0,3,60,0,0,3,5,0,15,3,0,5,150,0,60,3,0,3,0,0,0,0
