Filename,Fuelbed_number,Fuelbed_name,Benchmark_ROS,Benchmark_FL,Benchmark_RI,Benchmark_RI_Shrub,Benchmark_RI_Herb,Benchmark_RI_Wood,Benchmark_RI_LLM,Crosswalk13,ROS%13,FL%13,Crosswalk40,ROS%40,FL%40,Custom_ROS,Custom_FL,Custom_RI,Custom_RI_Shrub,Custom_RI_Herb,Custom_RI_Wood,Custom_RI_LLM,Custom_Crosswalk13,Custom_ROS%13,Custom_FL%13,Custom_Crosswalk40,Custom_ROS%40,Custom_FL%40,FCC_Code,Surface_fire_potential,Reaction_potential,Spread_potential,Flamelength_potential,Crown_fire_potential,Crown_initiation_potential,Crown-crown_trans_potential,Crownfire_spread_potential,Available_fuel_potential,Flame_available_potential,Smolder_available_potential,Residual_smolder_potential,Depth_shrub,Depth_herb,Depth_woody,Depth_LLM,Depth_surface_fuels,PercentCover_shrub,PercentCover_herb,PercentCover_woody,PercentCover_LLM,Tree_over_crown_load,Tree_mid_crown_load,Tree_under_crown_load,Tree_aboveground_load,Snag_class1_foliage_crown_load,Snag_class1_wood_load,Snag_class1_aboveground_load,Snag_class1_other_load,Snag_class2_load,Snag_class3_load,Ladderfuels_load,Shrub_primary_load,Shrub_primary_crown_load,Shrub_secondary_load,Shrub_secondary_crown_load,Shrub_needleDrape_load,Herb_primary_load,Herb_secondary_load,Woody_sound_1hr_load,Woody_sound_10hr_load,Woody_sound_100hr_load,Woody_sound_1000hr_load,Woody_sound_10khr_load,Woody_sound_GT10k_load,Woody_rotten_1000hr_load,Woody_rotten_10k_load,Woody_rotten_GT10k_load,Woody_pile_load,Woody_stumps_sound_load,Woody_stumps_rotten_load,Woody_stumps_lightered_load,LLM_litter_load,LLM_lichen_load,LLM_moss_load,Ground_upperduff_load,Ground_lowerduff_load,Ground_basalaccum_load,Ground_squirrelmid_load,Total_aboveground_biomass,Total_carbon_load,Version
FB_0000_FCCS.xml,0,"Bare Ground",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,NaN,0.0000,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,3.0.999
FB_0001_FCCS.xml,1,"Black cottonwood-Douglas-fir-quaking aspen forest",4.0577,1.5254,1148.8331,226.9313,345.3737,16.1245,560.4036,8.0000,245.9229,152.5431,186.0000,92.2211,66.3231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,435.0000,4.0288,2.7116,4.0288,2.4702,3.0185,2.3009,8.8547,1.7903,4.6534,1.9918,2.1092,0.5525,4.0000,0.5000,0.0833,0.0917,1.2684,60.0000,10.0000,5.0000,100.0000,19.4413,8.7245,0.5136,100.4098,,,,1.3044,0.2501,1.1762,,2.6953,1.1510,,,0.0000,0.2000,,0.2000,0.8000,3.5000,0.5000,0.5000,0.0000,3.0000,4.0000,5.0000,,,0.0294,,1.3047,0.0025,0.3000,16.0000,,,,141.1725,67.6407,3.0.999
FB_0002_FCCS.xml,2,"Western hemlock-western redcedar-Douglas-fir forest",19.9496,9.4174,7379.1650,4668.3770,636.2963,1420.3488,654.1432,13.0000,140.5889,99.1304,203.0000,97.3149,119.2075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,979.0000,8.9330,6.8722,8.9330,6.1376,7.1160,5.4535,8.8547,8.1979,9.0000,5.9126,2.2375,2.9295,4.0000,1.5000,0.6667,0.0917,1.6307,60.0000,25.0000,70.0000,100.0000,13.5626,7.0437,0.3558,559.3477,0.0696,23.0220,16.4541,,12.8648,6.4324,0.5000,1.8694,0.7166,1.8953,1.0709,1.5000,0.1500,0.0100,1.0000,2.0000,4.0000,2.0000,3.0000,6.0000,1.0000,3.0000,4.0000,,,0.0919,,1.4560,0.0015,0.1125,18.0000,,,,646.6857,318.8040,3.0.999
FB_0003_FCCS.xml,3,"Douglas-fir forest",10.0550,6.8738,5501.4644,334.1018,1131.6292,3438.5898,597.1436,12.0000,86.2352,94.1611,203.0000,49.0489,87.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,668.0000,6.3419,5.9337,6.3419,5.2436,6.2180,6.7732,7.1922,5.3372,7.6978,3.6102,2.5377,1.5499,7.0000,2.0000,0.6667,0.1042,0.5986,25.0000,34.0000,60.0000,96.0000,8.5663,,0.5857,40.0325,,,,,2.2973,2.2973,0.5000,1.4198,0.6378,,,0.0000,0.3000,0.0100,2.5000,3.5000,3.6000,10.7000,0.0000,0.0000,2.5000,0.0000,0.0000,1.7760,,6.6161,,2.1482,,0.0075,19.8000,,,,100.0047,46.6513,3.0.999
FB_0004_FCCS.xml,4,"Douglas-fir/ceanothus forest",17.2816,8.3965,7550.1509,3737.6128,2680.7322,556.4377,575.3685,13.0000,121.7874,88.3837,203.0000,84.3006,106.2842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,876.0000,8.3142,6.9513,8.3142,5.7953,6.7796,9.0000,7.1922,4.4205,6.0800,3.0294,1.7892,1.2613,5.0000,2.0000,0.2500,0.0625,2.0478,57.0000,25.0000,50.0000,100.0000,3.5039,,0.2490,5.7755,0.0042,0.2741,0.2360,,,,,5.4000,2.7000,0.5104,0.2552,0.0000,0.5000,0.1000,0.2000,0.3000,3.8000,0.0000,0.0000,0.0000,12.0000,7.0000,4.5000,0.1630,,13.2323,,2.2688,,,6.0000,,,,61.9858,26.7197,3.0.999
FB_0005_FCCS.xml,5,"Douglas-fir-white fir forest",26.3862,11.5710,9057.1592,6826.7988,732.1925,956.5520,541.6158,13.0000,185.9494,121.8000,203.0000,128.7133,146.4683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,978.0000,9.0000,7.6135,9.0000,6.8032,7.0618,4.6449,9.0000,8.8315,8.2071,5.6003,1.2043,1.4025,3.5000,1.0000,0.4167,0.1667,1.1784,45.0000,27.0000,81.0000,85.0000,13.2015,6.3393,1.3951,226.3004,0.0333,3.4716,1.7455,,0.9189,0.7377,0.5000,2.9760,1.7635,,,1.5000,0.2000,0.0100,0.5000,1.6000,3.3000,4.3000,8.9000,3.4000,0.8000,1.6000,0.6000,,0.0221,0.0368,,4.9810,,,7.8320,,0.0050,,272.7654,135.1301,3.0.999
FB_0006_FCCS.xml,6,"Oregon white oak-Douglas-fir forest",12.5514,4.1652,3473.7061,163.8806,2632.2100,138.9587,538.6567,6.0000,44.7465,77.1340,142.0000,545.7130,219.2228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,732.0000,7.0856,4.7151,7.0856,4.0818,2.5689,4.2712,0.0000,1.7226,2.4209,0.9428,0.3855,1.0927,4.0000,0.5000,0.1667,0.0583,1.1849,48.0000,100.0000,60.0000,100.0000,5.6192,6.5108,0.1035,164.7210,0.0093,7.1624,6.6465,,,7.8222,,2.7758,1.0951,,,0.0000,0.6000,0.1000,0.1000,0.4000,0.8000,2.6000,2.2000,0.0000,0.3000,0.7000,0.7000,0.1360,0.2105,0.1225,,1.2495,0.0002,0.0318,2.2800,,0.0037,,194.4996,96.0573,3.0.999
FB_0007_FCCS.xml,7,"Douglas-fir-sugar pine-tanoak forest",3.8088,3.4421,3323.2390,820.7896,82.2804,1643.5017,776.6673,9.0000,55.8468,137.6857,189.0000,55.1993,80.0498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,459.0000,3.9032,4.6118,3.9032,3.7106,5.2796,2.8739,9.0000,6.4443,8.9253,5.7232,1.8530,1.3491,0.9000,1.6000,0.4167,0.0917,0.3530,10.0000,16.0000,99.0000,100.0000,11.4998,7.4059,0.3920,183.3702,,,,,,1.8297,3.0000,0.8653,0.4532,,,0.0000,0.0200,,1.0000,3.2000,1.9000,0.6000,0.7000,1.7000,4.9000,5.4000,14.2000,0.0661,,,,1.1920,0.0020,0.0750,10.2960,,,,234.3162,113.4956,3.0.999
FB_0008_FCCS.xml,8,"Western hemlock-Douglas-fir-western redcedar/vine maple forest",12.3713,5.5137,2938.9194,797.2723,68.1022,1442.4990,631.0458,10.0000,165.3912,117.3123,163.0000,62.1671,87.5187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,779.0000,7.0346,4.3369,7.0346,4.6962,6.7478,4.4261,8.8547,8.3662,9.0000,5.4805,4.3568,4.1537,4.0000,3.0000,0.6667,0.1500,0.7614,35.0000,8.0000,80.0000,100.0000,6.5549,9.9876,0.3433,452.3936,0.1554,32.8886,18.8047,,4.4230,2.9487,0.5000,1.1091,0.4314,0.5762,0.2990,0.0000,0.0100,0.0100,1.0000,2.0000,4.0000,10.0000,20.0000,10.0000,2.0000,10.0000,5.0000,,,0.0919,,2.9749,0.0015,0.1050,31.6800,,,,579.6287,284.2000,3.0.999
FB_0009_FCCS.xml,9,"Douglas-fir-western hemlock-western redcedar/vine maple forest",11.3739,7.0026,5904.8687,2457.9033,564.5677,2236.1755,646.2223,12.0000,97.5462,95.9256,203.0000,55.4824,88.6401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,779.0000,6.7450,6.1475,6.7450,5.2925,7.4950,9.0000,8.8547,5.5357,9.0000,3.9326,2.2552,3.2854,5.0000,2.0000,0.3333,0.0917,0.7327,25.0000,15.0000,87.0000,100.0000,8.1936,,2.4069,30.1633,,,,,4.5946,3.4459,0.5000,1.7448,0.7333,,,1.5000,0.1500,,1.5000,2.6000,2.5000,2.0000,3.7000,7.0000,4.7000,8.0000,20.0000,0.0275,,1.4825,,1.5050,0.0015,0.1500,11.5200,,,,108.7850,49.0182,3.0.999
