FCCSID,Fuelbed Name,filename,Canopy_total_biomass_tpa,Canopy_available_fuel_tpa,Shrub_tpa,Herb_tpa,Wood_tpa,LLM_tpa,Ground_tpa,Total_available_fuel_tpa,Total_aboveground_biomass_tpa
0_111,Bare Ground,FB_0000_FCCS_111.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_112,Bare Ground,FB_0000_FCCS_112.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_113,Bare Ground,FB_0000_FCCS_113.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_121,Bare Ground,FB_0000_FCCS_121.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_122,Bare Ground,FB_0000_FCCS_122.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_123,Bare Ground,FB_0000_FCCS_123.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_131,Bare Ground,FB_0000_FCCS_131.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_132,Bare Ground,FB_0000_FCCS_132.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_133,Bare Ground,FB_0000_FCCS_133.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_111,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_111.xml,134.7718,30.155,0.9277,0.1,13.9693,0.9041,9.0,55.056,159.6729
1_112,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_112.xml,177.093,25.9727,1.2908,0.2,14.5318,1.4743,9.0,52.4695,203.59
1_113,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_113.xml,149.1341,83.6143,2.6953,0.2,16.2195,1.6065,9.0,113.3353,178.8551
1_121,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_121.xml,229.6831,32.849,0.3588,0.05,10.8843,0.1004,1.0,45.2427,242.0768
1_122,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_122.xml,589.4726,33.3011,0.9277,0.3,11.1658,0.4018,1.0,47.0961,603.2676
1_123,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_123.xml,680.4174,246.7318,3.3691,0.3,11.2443,1.6072,1.0,264.2524,697.9381
1_131,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_131.xml,340.4229,36.3749,0.055,0.01,6.7268,0.0041,0.04,43.2108,347.2587
1_132,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_132.xml,988.7403,36.4744,0.9277,0.4,6.8393,0.4018,0.04,45.0831,997.3491
1_133,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_133.xml,457.6468,440.2781,4.043,0.4,7.987,1.6072,0.04,454.3551,471.7238
1_211,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_211.xml,97.3479,20.7629,2.0215,0.15,18.9044,2.2213,16.0,60.0601,136.645
1_212,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_212.xml,97.3479,20.7629,2.2236,0.1875,17.4357,2.2213,16.0,58.831,135.4159
1_213,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_213.xml,97.3479,20.7629,2.446,0.2344,15.9934,2.2213,16.0,57.658,134.243
1_221,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_221.xml,88.4561,12.9543,1.3477,0.1,21.2794,2.605,16.0,54.2864,129.7882
1_222,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_222.xml,88.4561,12.9543,1.6846,0.15,19.2169,2.605,16.0,52.6109,128.1126
1_223,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_223.xml,88.4561,12.9543,2.1057,0.225,17.2701,2.605,19.2,54.3601,129.8619
1_231,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_231.xml,45.5934,7.1903,0.6738,0.05,24.5294,2.9888,16.0,51.4324,89.8354
1_232,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_232.xml,45.5934,7.1903,1.0107,0.075,21.6544,2.9888,16.0,48.9193,87.3223
1_233,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_233.xml,45.5934,7.1903,1.5161,0.1125,18.8747,2.9888,22.4,53.0825,91.4855
1_311,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_311.xml,97.3479,20.7629,2.0215,0.15,15.1044,0.9041,9.0,47.9429,124.5279
1_312,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_312.xml,97.3479,20.7629,2.5268,0.225,15.1044,1.4743,9.0,49.0935,125.6784
1_313,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_313.xml,97.3479,20.7629,2.6961,0.2,16.6144,1.6065,9.0,50.8798,127.4647
1_321,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_321.xml,88.4561,12.9543,1.3477,0.1,12.6794,0.4018,4.0,31.4832,106.985
1_322,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_322.xml,88.4561,12.9543,2.0215,0.15,12.6794,1.3803,4.0,33.1856,108.6874
1_323,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_323.xml,88.4561,12.9543,2.6946,0.2,12.6863,1.6072,4.0,34.1425,109.6443
1_331,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_331.xml,45.5934,7.1903,0.6738,0.05,8.3044,0.1004,1.0,17.3191,55.7221
1_332,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_332.xml,45.5934,7.1903,1.0107,0.075,8.3046,1.3236,1.0,18.9042,57.3072
1_333,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_333.xml,45.5934,7.1903,2.6956,0.2,9.8222,1.6072,1.0,22.5155,60.9186
1_411,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_411.xml,87.6822,25.6669,2.4258,0.2,20.7794,2.2213,16.0,67.2934,129.3087
1_412,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_412.xml,87.6822,25.6669,2.6684,0.22,19.0919,2.2213,20.0,69.8685,131.8838
1_413,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_413.xml,87.6822,25.6669,2.695,0.22,15.2951,1.5305,20.0,65.4075,127.4228
1_421,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_421.xml,56.7657,16.7893,1.8867,0.2,38.0294,2.605,16.0,75.5104,115.4868
1_422,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_422.xml,56.7657,16.7893,2.4527,0.24,35.7794,2.605,24.0,81.8665,121.8429
1_423,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_423.xml,56.7657,16.7893,3.1885,0.24,30.7169,1.5977,24.0,76.5324,116.5088
1_431,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_431.xml,25.8492,7.9116,1.3477,0.2,42.5294,3.3725,16.0,71.3612,89.2988
1_432,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_432.xml,25.8492,7.9116,2.0215,0.3,39.1544,3.3725,32.0,84.7601,102.6976
1_433,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_433.xml,25.8492,7.9116,3.0322,0.3,31.5607,2.0294,32.0,76.8339,94.7714
1_511,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_511.xml,134.7889,30.2577,2.6953,0.2,17.5294,1.6072,16.0,68.2897,172.821
1_512,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_512.xml,233.0328,30.0113,2.6953,0.2,17.9794,1.8812,16.0,68.7673,271.7889
1_513,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_513.xml,268.7574,82.0149,2.6953,0.2,18.4744,1.607,16.0,120.9916,307.7341
1_521,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_521.xml,229.7343,33.166,2.6953,0.2,17.5294,1.6072,16.0,71.1981,267.7664
1_522,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_522.xml,589.5273,33.6377,2.6953,0.25,20.4044,2.605,16.0,75.5924,631.4821
1_523,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_523.xml,680.4721,247.0684,2.6953,0.25,33.4982,1.3269,17.6,302.4387,735.8424
1_531,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_531.xml,340.504,37.3768,2.6953,0.2,17.5294,1.6072,16.0,75.4088,378.536
