FCCSID,Fuelbed,Shrub,Herb,0-1/4,1/4-1,1-3,3+,%Rotten,Distribution,Litter,Duff,Duff Depth
0_111,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_112,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_113,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_121,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_122,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_123,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_131,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_132,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
0_133,Bare Ground,0.0,0.0,0.0,0.0,0.0,0.0,,Even,0.0,0.0,0.0
1_111,Black cottonwood-Douglas-fir-quaking aspen forest,0.9277,0.1,0.1,0.4,1.75,11.7,0.9231,Right,0.7339,9.0,1.5
1_112,Black cottonwood-Douglas-fir-quaking aspen forest,1.2908,0.2,0.125,0.5,2.1875,11.7,0.9423,Right,1.3041,9.0,1.5
1_113,Black cottonwood-Douglas-fir-quaking aspen forest,2.6953,0.2,0.2,0.8,3.5,11.7002,0.9711,Right,1.3041,9.0,1.5
1_121,Black cottonwood-Douglas-fir-quaking aspen forest,0.3588,0.05,0.05,0.2,0.875,9.75,0.9231,Right,0.0815,1.0,0.5
1_122,Black cottonwood-Douglas-fir-quaking aspen forest,0.9277,0.3,0.0625,0.25,1.0938,9.7502,0.9423,Right,0.3262,1.0,0.5
1_123,Black cottonwood-Douglas-fir-quaking aspen forest,3.3691,0.3,0.066,0.264,1.155,9.75,0.9712,Right,1.3047,1.0,0.5
1_131,Black cottonwood-Douglas-fir-quaking aspen forest,0.055,0.01,0.01,0.04,0.175,6.5,0.9231,Right,0.0033,0.04,0.1
1_132,Black cottonwood-Douglas-fir-quaking aspen forest,0.9277,0.4,0.015,0.06,0.2625,6.5,0.9423,Right,0.3262,0.04,0.1
1_133,Black cottonwood-Douglas-fir-quaking aspen forest,4.043,0.4,0.066,0.264,1.155,6.5002,0.9711,Right,1.3047,0.04,0.1
1_211,Black cottonwood-Douglas-fir-quaking aspen forest,2.0215,0.15,0.5,1.0,4.375,13.0,0.9231,Right,1.9188,16.0,2.0
1_212,Black cottonwood-Douglas-fir-quaking aspen forest,2.2236,0.1875,0.375,0.75,3.2813,13.0,0.9423,Right,1.9188,16.0,2.0
1_213,Black cottonwood-Douglas-fir-quaking aspen forest,2.446,0.2344,0.1875,0.375,1.6406,13.375,0.9439,Right,1.9188,16.0,2.0
1_221,Black cottonwood-Douglas-fir-quaking aspen forest,1.3477,0.1,1.0,2.0,5.25,13.0,0.9231,Even,2.3025,16.0,2.0
1_222,Black cottonwood-Douglas-fir-quaking aspen forest,1.6846,0.15,0.75,1.5,3.9375,13.0,0.9423,Right,2.3025,16.0,2.0
1_223,Black cottonwood-Douglas-fir-quaking aspen forest,2.1057,0.225,0.375,0.75,1.9688,13.375,0.9439,Right,2.3025,19.2,2.4
1_231,Black cottonwood-Douglas-fir-quaking aspen forest,0.6738,0.05,1.5,3.0,7.0,13.0,0.9231,Even,2.6863,16.0,2.0
1_232,Black cottonwood-Douglas-fir-quaking aspen forest,1.0107,0.075,1.125,2.25,5.25,13.0,0.9423,Even,2.6863,16.0,2.0
1_233,Black cottonwood-Douglas-fir-quaking aspen forest,1.5161,0.1125,0.5625,1.125,2.625,13.375,0.9439,Right,2.6863,22.4,2.8
1_311,Black cottonwood-Douglas-fir-quaking aspen forest,2.0215,0.15,0.15,0.6,2.625,11.7,0.9231,Right,0.7339,9.0,1.5
