FCCSID,Fuelbed Name,filename,Canopy_total_biomass_tpa,Canopy_available_fuel_tpa,Shrub_tpa,Herb_tpa,Wood_tpa,LLM_tpa,Ground_tpa,Total_available_fuel_tpa,Total_aboveground_biomass_tpa
0_111,Bare Ground,FB_0000_FCCS_111.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_112,Bare Ground,FB_0000_FCCS_112.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_113,Bare Ground,FB_0000_FCCS_113.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_121,Bare Ground,FB_0000_FCCS_121.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_122,Bare Ground,FB_0000_FCCS_122.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_123,Bare Ground,FB_0000_FCCS_123.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_131,Bare Ground,FB_0000_FCCS_131.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_132,Bare Ground,FB_0000_FCCS_132.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_133,Bare Ground,FB_0000_FCCS_133.xml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_111,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_111.xml,99.3024,22.2209,0.9277,0.1,13.9693,0.9041,9.0,47.1219,124.2035
1_112,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_112.xml,96.7854,20.1753,1.2908,0.2,14.5318,1.4743,9.0,46.6722,123.2823
1_113,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_113.xml,94.924,24.1536,2.6953,0.2,16.2195,1.6065,9.0,53.8747,124.6452
1_121,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_121.xml,91.1857,20.8104,0.3588,0.05,10.8843,0.1004,1.0,33.204,103.5792
1_122,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_122.xml,111.9059,20.1957,0.9277,0.3,11.1658,0.4018,1.0,33.9907,125.7009
1_123,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_123.xml,98.1237,28.8001,3.3691,0.3,11.2443,1.6072,1.0,46.3207,115.6444
1_131,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_131.xml,81.7261,19.1737,0.055,0.01,6.7268,0.0041,0.04,26.0096,88.5619
1_132,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_132.xml,123.831,18.7227,0.9277,0.4,6.8393,0.4018,0.04,27.3315,132.4398
1_133,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_133.xml,54.2057,36.5144,4.043,0.4,7.987,1.6072,0.04,50.5914,68.2827
1_211,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_211.xml,96.2212,20.8404,2.0215,0.15,18.9044,2.2213,16.0,60.1375,135.5182
1_212,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_212.xml,96.2212,20.8404,2.2236,0.1875,17.4357,2.2213,16.0,58.9084,134.2892
1_213,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_213.xml,96.2212,20.8404,2.446,0.2344,15.9934,2.2213,16.0,57.7355,133.1162
1_221,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_221.xml,87.3294,18.3411,1.3477,0.1,21.2794,2.605,16.0,59.6732,128.6614
1_222,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_222.xml,87.3294,18.3411,1.6846,0.15,19.2169,2.605,16.0,57.9976,126.9858
1_223,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_223.xml,87.3294,18.3411,2.1057,0.225,17.2701,2.605,19.2,59.7468,128.7351
1_231,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_231.xml,44.4667,9.6311,0.6738,0.05,24.5294,2.9888,16.0,53.8731,88.7086
1_232,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_232.xml,44.4667,9.6311,1.0107,0.075,21.6544,2.9888,16.0,51.36,86.1956
1_233,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_233.xml,44.4667,9.6311,1.5161,0.1125,18.8747,2.9888,22.4,55.5232,90.3588
1_311,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_311.xml,96.2212,20.8404,2.0215,0.15,15.1044,0.9041,9.0,48.0204,123.4011
1_312,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_312.xml,96.2212,20.8404,2.5268,0.225,15.1044,1.4743,9.0,49.1709,124.5516
1_313,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_313.xml,96.2212,20.8404,2.6961,0.2,16.6144,1.6065,9.0,50.9572,126.338
1_321,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_321.xml,87.3294,18.3411,1.3477,0.1,12.6794,0.4018,4.0,36.87,105.8582
1_322,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_322.xml,87.3294,18.3411,2.0215,0.15,12.6794,1.3803,4.0,38.5724,107.5606
1_323,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_323.xml,87.3294,18.3411,2.6946,0.2,12.6863,1.6072,4.0,39.5292,108.5175
1_331,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_331.xml,44.4667,9.6311,0.6738,0.05,8.3044,0.1004,1.0,19.7598,54.5953
1_332,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_332.xml,44.4667,9.6311,1.0107,0.075,8.3046,1.3236,1.0,21.3449,56.1805
1_333,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_333.xml,44.4667,9.6311,2.6956,0.2,9.8222,1.6072,1.0,24.9563,59.7918
1_411,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_411.xml,86.7244,19.3033,2.4258,0.2,20.7794,2.2213,16.0,60.9298,128.3509
1_412,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_412.xml,86.7244,19.3033,2.6684,0.22,19.0919,2.2213,20.0,63.5049,130.926
1_413,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_413.xml,86.7244,19.3033,2.695,0.22,15.2951,1.5305,20.0,59.0439,126.465
1_421,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_421.xml,56.1459,12.5176,1.8867,0.2,38.0294,2.605,16.0,71.2388,114.8671
1_422,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_422.xml,56.1459,12.5176,2.4527,0.24,35.7794,2.605,24.0,77.5948,121.2231
1_423,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_423.xml,56.1459,12.5176,3.1885,0.24,30.7169,1.5977,24.0,72.2608,115.8891
1_431,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_431.xml,25.5675,5.7319,1.3477,0.2,42.5294,3.3725,16.0,69.1815,89.0171
1_432,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_432.xml,25.5675,5.7319,2.0215,0.3,39.1544,3.3725,32.0,82.5803,102.4159
1_433,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_433.xml,25.5675,5.7319,3.0322,0.3,31.5607,2.0294,32.0,74.6542,94.4898
1_511,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_511.xml,99.3195,22.2364,2.6953,0.2,17.5294,1.6072,16.0,60.2683,137.3515
1_512,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_512.xml,102.9283,21.6937,2.6953,0.2,17.9794,1.8812,16.0,60.4497,141.6843
1_513,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_513.xml,98.894,23.1927,2.6953,0.2,18.4744,1.607,16.0,62.1694,137.8708
1_521,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_521.xml,91.2369,20.8567,2.6953,0.2,17.5294,1.6072,16.0,58.8886,129.2689
1_522,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_522.xml,111.9606,20.2451,2.6953,0.25,20.4044,2.605,16.0,62.1998,153.9153
1_523,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_523.xml,98.1784,28.8495,2.6953,0.25,33.4982,1.3269,17.6,84.2198,153.5487
1_531,Black cottonwood-Douglas-fir-quaking aspen forest,FB_0001_FCCS_531.xml,81.8072,19.247,2.6953,0.2,17.5294,1.6072,16.0,57.279,119.8392
