,Suggested Short Name,Low Time Step 1 (411) Rules,Time Step 2 (412) Rules,Time Step 3 (413) Rules,FB_0029_FCCS,FB_0029_FCCS_411,FB_0029_FCCS_412,FB_0029_FCCS_413,FB_0046_FCCS,FB_0046_FCCS_411,FB_0046_FCCS_412,FB_0046_FCCS_413,FB_0066_FCCS,FB_0066_FCCS_411,FB_0066_FCCS_412,FB_0066_FCCS_413,FB_0087_FCCS,FB_0087_FCCS_411,FB_0087_FCCS_412,FB_0087_FCCS_413,FB_0109_FCCS,FB_0109_FCCS_411,FB_0109_FCCS_412,FB_0109_FCCS_413,FB_0291_FCCS,FB_0291_FCCS_411,FB_0291_FCCS_412,FB_0291_FCCS_413
eCANOPY_TREES_TOTAL_PERCENT_COVER,Canopy_TotalCover,0.85,,,40,34,34,34,,0,0,0,,0,0,0,80,68,68,68,85,72.25,72.25,72.25,60,51,51,51
eCANOPY_TREES_OVERSTORY_DIAMETER_AT_BREAST_HEIGHT,OTree_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,2.9,2.9,2.9,2.9,14,14,14,14,12,12,12,12
eCANOPY_TREES_OVERSTORY_HEIGHT_TO_LIVE_CROWN,OTree_HeightLiveCrown,,,,20,20,20,20,,0,0,0,,0,0,0,4,4,4,4,20,20,20,20,55,55,55,55
eCANOPY_TREES_OVERSTORY_HEIGHT,OTree_Height,,,,100,100,100,100,,0,0,0,,0,0,0,25,25,25,25,60,60,60,60,78,78,78,78
eCANOPY_TREES_OVERSTORY_PERCENT_COVER,OTree_Cover,0.85,,,40,34,34,34,,0,0,0,,0,0,0,80,68,68,68,50,42.5,42.5,42.5,50,42.5,42.5,42.5
eCANOPY_TREES_OVERSTORY_STEM_DENSITY,OTree_Density,0.85,,,12,10.2,10.2,10.2,,0,0,0,,0,0,0,3500,2975,2975,2975,45,38.25,38.25,38.25,100,85,85,85
eCANOPY_TREES_MIDSTORY_DIAMETER_AT_BREAST_HEIGHT,MTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7.5,7.5,7.5,7.5,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT_TO_LIVE_CROWN,MTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,10,10,10,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT,MTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,44,44,44,44,,0,0,0
eCANOPY_TREES_MIDSTORY_PERCENT_COVER,MTree_Cover,0.85,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,42.5,42.5,42.5,,0,0,0
eCANOPY_TREES_MIDSTORY_STEM_DENSITY,MTree_Density,0.85,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,150,127.5,127.5,127.5,,0,0,0
eCANOPY_TREES_UNDERSTORY_DIAMETER_AT_BREAST_HEIGHT,UTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,0.5,0.5,0.5,0.5,1.7,1.7,1.7,1.7,1,1,1,1
eCANOPY_TREES_UNDERSTORY_HEIGHT_TO_LIVE_CROWN,UTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
eCANOPY_TREES_UNDERSTORY_HEIGHT,UTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,1.5,1.5,1.5,1.5,10,10,10,10,5,5,5,5
eCANOPY_TREES_UNDERSTORY_PERCENT_COVER,UTree_Cover,,,,,0,0,0,,0,0,0,,0,0,0,3,3,3,3,30,30,30,30,5,5,5,5
eCANOPY_TREES_UNDERSTORY_STEM_DENSITY,UTree_Density,,,,,0,0,0,,0,0,0,,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,25,25,25,25
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_DIAMETER,C1Snag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,13,13,13,13,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_HEIGHT,C1Snag_Height,,,,,0,0,0,,0,0,0,,0,0,0,25,25,25,25,55,55,55,55,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_STEM_DENSITY,C1Snag_Density,0.85,,,,0,0,0,,0,0,0,,0,0,0,100,85,85,85,5,4.25,4.25,4.25,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT_TO_CROWN_BASE,C1FSnag_HeightCrownBase,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,33.35,33.35,33.35,33.35,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_DIAMETER,C1FSnag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,9,9,9,9,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT,C1FSnag_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,50,50,50,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_PERCENT_COVER,C1FSnag_Cover,0.85,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.5071,0.431035,0.431035,0.431035,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_STEM_DENSITY,C1FSnag_Density,0.85,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,4.25,4.25,4.25,,0,0,0
eCANOPY_SNAGS_CLASS_2_DIAMETER,C2Snag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,12,12,12,12
eCANOPY_SNAGS_CLASS_2_HEIGHT,C2Snag_Height,,,,,0,0,0,,0,0,0,,0,0,0,20,20,20,20,50,50,50,50,70,70,70,70
eCANOPY_SNAGS_CLASS_2_STEM_DENSITY,C2Snag_Density,0.85,,,,0,0,0,,0,0,0,,0,0,0,150,127.5,127.5,127.5,10,8.5,8.5,8.5,3,2.55,2.55,2.55
eCANOPY_SNAGS_CLASS_3_DIAMETER,C3Snag_Diameter,,,,9,9,9,9,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,10,10,10,10
eCANOPY_SNAGS_CLASS_3_HEIGHT,C3Snag_Height,,,,60,60,60,60,,0,0,0,,0,0,0,15,15,15,15,40,40,40,40,60,60,60,60
eCANOPY_SNAGS_CLASS_3_STEM_DENSITY,C3Snag_Density,0.85,,,3,2.55,2.55,2.55,,0,0,0,,0,0,0,150,127.5,127.5,127.5,5,4.25,4.25,4.25,3,2.55,2.55,2.55
eCANOPY_LADDER_FUELS_MAXIMUM_HEIGHT,Ladder_MaxHeight,,,,,0,0,0,,0,0,0,,0,0,0,4,4,4,4,15,15,15,15,,0,0,0
eCANOPY_LADDER_FUELS_MINIMUM_HEIGHT,Ladder_MinHeight,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,5,5,5,5,,0,0,0
eSHRUBS_PRIMARY_LAYER_HEIGHT,1Shrub_Height,,,,2.2,2.2,2.2,2.2,5,5,5,5,3,3,3,3,5,5,5,5,6,6,6,6,5,5,5,5
eSHRUBS_PRIMARY_LAYER_PERCENT_COVER,1Shrub_Cover,0.9,1.1,,21.6,19.44,21.384,21.384,70,63,69.3,69.3,2,1.8,1.98,1.98,10,9,9.9,9.9,30,27,29.7,29.7,80,72,79.2,79.2
eSHRUBS_PRIMARY_LAYER_PERCENT_LIVE,1Shrub_Live,0.9,1.1,,85,76.5,84.15,84.15,85,76.5,84.15,84.15,100,90,99,99,90,81,89.1,89.1,85,76.5,84.15,84.15,90,81,89.1,89.1
eSHRUBS_SECONDARY_LAYER_HEIGHT,2Shrub_Height,,,,0.3,0.3,0.3,0.3,2,2,2,2,,0,0,0,1,1,1,1,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_COVER,2Shrub_Cover,0.9,1.1,,1.2,1.08,1.188,1.188,5,4.5,4.95,4.95,,0,0,0,20,18,19.8,19.8,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_LIVE,2Shrub_Live,0.9,1.1,,95,85.5,94.05,94.05,85,76.5,84.15,84.15,,0,0,0,90,81,89.1,89.1,,0,0,0,,0,0,0
eHERBACEOUS_PRIMARY_LAYER_HEIGHT,1Herb_Height,,,,0.9,0.9,0.9,0.9,,0,0,0,2,2,2,2,1,1,1,1,2.5,2.5,2.5,2.5,2,2,2,2
eHERBACEOUS_PRIMARY_LAYER_LOADING,1Herb_Load,,1.1,,0.1,0.1,0.11,0.11,,0,0,0,1,1,1.1,1.1,0.01,0.01,0.011,0.011,0.4,0.4,0.44,0.44,0.1,0.1,0.11,0.11
eHERBACEOUS_PRIMARY_LAYER_PERCENT_COVER,1Herb_Cover,,1.1,,0.7,0.7,0.77,0.77,,0,0,0,90,90,99,99,2,2,2.2,2.2,30,30,33,33,20,20,22,22
eHERBACEOUS_PRIMARY_LAYER_PERCENT_LIVE,1Herb_Live,,,,95,95,95,95,,0,0,0,85,85,85,85,90,90,90,90,80,80,80,80,60,60,60,60
eHERBACEOUS_SECONDARY_LAYER_HEIGHT,2Herb_Height,,,,0.9,0.9,0.9,0.9,,0,0,0,1,1,1,1,0.5,0.5,0.5,0.5,,0,0,0,1,1,1,1
eHERBACEOUS_SECONDARY_LAYER_LOADING,2Herb_Load,,1.1,,0.1,0.1,0.11,0.11,,0,0,0,0.01,0.01,0.011,0.011,0.02,0.02,0.022,0.022,,0,0,0,0.1,0.1,0.11,0.11
eHERBACEOUS_SECONDARY_LAYER_PERCENT_COVER,2Herb_Cover,,1.1,,0.2,0.2,0.22,0.22,,0,0,0,8,8,8.8,8.8,5,5,5.5,5.5,,0,0,0,20,20,22,22
eHERBACEOUS_SECONDARY_LAYER_PERCENT_LIVE,2Herb_Live,,,,85,85,85,85,,0,0,0,70,70,70,70,90,90,90,90,,0,0,0,60,60,60,60
eWOODY_FUEL_ALL_DOWNED_WOODY_FUEL_DEPTH,FineWood_Depth,1.25,0.75,0.25,4,5,3.75,0.9375,1,1.25,0.9375,0.234375,,1,0.75,0.1875,0.5,1,0.75,0.1875,1,1.25,0.9375,0.234375,0.5,1,0.75,0.1875
eWOODY_FUEL_ALL_DOWNED_WOODY_FUEL_TOTAL_PERCENT_COVER,FineWood_Cover,1.25,0.75,0.25,70,87.5,65.625,16.40625,50,62.5,46.875,11.71875,,25,18.75,4.6875,30,37.5,28.125,7.03125,40,50,37.5,9.375,15,25,18.75,4.6875
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_ONE_TO_THREE_INCHES,SWood_100hr,1.5,0.75,0.25,2,3,2.25,0.5625,1,1.5,1.125,0.28125,,0,0,0,0.5,0.75,0.5625,0.140625,1,1.5,1.125,0.28125,0.3,0.45,0.3375,0.084375
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_QUARTER_INCH_TO_ONE_INCH,SWood_10hr,1.5,0.75,0.25,1.5,2.25,1.6875,0.421875,1,1.5,1.125,0.28125,,0,0,0,0.2,0.3,0.225,0.05625,0.5,0.75,0.5625,0.140625,0.4,0.6,0.45,0.1125
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_ZERO_TO_QUARTER_INCH,SWood_1hr,1.5,0.75,0.25,1,1.5,1.125,0.28125,0.5,0.75,0.5625,0.140625,,0,0,0,0.1,0.15,0.1125,0.028125,0.3,0.45,0.3375,0.084375,0.02,0.03,0.0225,0.005625
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_THREE_TO_NINE_INCHES,SWood_1000hr,2,0.75,0.5,6,12,9,4.5,0,0,0,0,,0,0,0,1,1,0.75,0.375,1.2,2.4,1.8,0.9,0.5,1,0.75,0.375
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_NINE_TO_TWENTY_INCHES,SWood_10_000hr,2,0.75,0.5,12,24,18,9,0,0,0,0,,0,0,0,0,0,0,0,0.5,1,0.75,0.375,0,0,0,0
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_GREATER_THAN_TWENTY_INCHES,SWood_GT10_000hr,2,0.75,0.5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,1,0.75,0.375,0,0,0,0
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_THREE_TO_NINE_INCHES,RWood_1000hr,,0.25,0.5,5,5,8,12.5,,0,0,0,,0,0,0,0.5,0.5,0.75,1.125,0.75,0.75,1.35,2.25,,0,0.25,0.625
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_NINE_TO_TWENTY_INCHES,RWood_10_000hr,,0.25,0.5,11,11,17,26,,0,0,0,,0,0,0,0,0,0,0,0.3,0.3,0.55,0.925,,0,0,0
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_GREATER_THAN_TWENTY_INCHES,RWood_GT10_000hr,,0.25,0.5,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.25,0.625,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_DIAMETER,SStump_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,,0,3.5,3.5,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_HEIGHT,SStump_Height,,,,0.4,0.4,0.4,0.4,,0,0,0,,0,0,0,2,2,2,2,,0,2,2,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_STEM_DENSITY,SStump_Density,,,,115,115,115,115,,0,0,0,,0,0,0,50,50,50,50,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_ROTTEN_DIAMETER,RStump_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,10,10,10,10,10,10,10,10
eWOODY_FUEL_STUMPS_ROTTEN_HEIGHT,RStump_Height,,,,0.4,0.4,0.4,0.4,,0,0,0,,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1
eWOODY_FUEL_STUMPS_ROTTEN_STEM_DENSITY,RStump_Density,,,,115,115,115,115,,0,0,0,,0,0,0,50,50,50,50,5,5,5,5,3,3,3,3
eWOODY_FUEL_STUMPS_LIGHTERED_PITCHY_DIAMETER,RStump_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_LIGHTERED_PITCHY_HEIGHT,RStump_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_LIGHTERED_PITCHY_STEM_DENSITY,RStump_Density,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eWOODY_FUEL_PILES_CLEAN_LOADING,CleanPile_Load,,,,0.078119,0.078119,0.078119,0.078119,0,0,0,0,0,0,0,0,0.081811,0.081811,0.081811,0.081811,0.135893,0.135893,0.135893,0.135893,0,0,0,0
eWOODY_FUEL_PILES_DIRTY_LOADING,DirtyPile_Load,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eWOODY_FUEL_PILES_VERYDIRTY_LOADING,VDirtyPile_Load,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eLITTER_LITTER_TYPE_BROADLEAF_DECIDUOUS_RELATIVE_COVER,BroadleafLitter_RelCover,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,90,90,90,90,,0,0,0
eLITTER_LITTER_TYPE_BROADLEAF_EVERGREEN_RELATIVE_COVER,EvergreenLitter_RelCover,,,,,0,0,0,100,100,100,100,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eLITTER_LITTER_TYPE_GRASS_RELATIVE_COVER,GrassLitter_RelCover,,,,,0,0,0,,0,0,0,100,100,100,100,,0,0,0,,0,0,0,,0,0,0
eLITTER_LITTER_TYPE_LONG_NEEDLE_PINE_RELATIVE_COVER,LongNeedleLitter_RelCover,,,,50,50,50,50,,0,0,0,,0,0,0,,0,0,0,10,10,10,10,40,40,40,40
eLITTER_LITTER_TYPE_OTHER_CONIFER_RELATIVE_COVER,OtherConiferLitter_RelCover,,,,50,50,50,50,,0,0,0,,0,0,0,100,100,100,100,,0,0,0,,0,0,0
eLITTER_LITTER_TYPE_PALM_FROND_RELATIVE_COVER,PalmLitter_RelCover,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,60,60,60,60
eLITTER_LITTER_TYPE_SHORT_NEEDLE_PINE_RELATIVE_COVER,ShortNeedleLitter_RelCover,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
eMOSS_LICHEN_LITTER_GROUND_LICHEN_DEPTH,Lichen_Depth,,,,,0,0,0,,0,0,0,,0,0,0,2,2,2,2,,0,0,0,,0,0,0
eMOSS_LICHEN_LITTER_GROUND_LICHEN_PERCENT_COVER,Lichen_Cover,,,,,0,0,0,,0,0,0,,0,0,0,5,5,5,5,,0,0,0,,0,0,0
eMOSS_LICHEN_LITTER_LITTER_DEPTH,Litter_Depth,1.25,,0.8,0.2,0.25,0.25,0.2,1,1.25,1.25,1,2.5,3.125,3.125,2.5,1,1.25,1.25,1,1.5,1.875,1.875,1.5,2,2.5,2.5,2
eMOSS_LICHEN_LITTER_LITTER_PERCENT_COVER,Litter_Cover,1.25,,0.8,70,87.5,87.5,70,60,75,75,60,5,6.25,6.25,5,15,18.75,18.75,15,90,100,100,80,70,87.5,87.5,70
