,Suggested Short Name,Mod Time Step 1 (421) Rules,Time Step 2 (422) Rules,Time Step 3 (423) Rules,FB_0029_FCCS,FB_0029_FCCS_421,FB_0029_FCCS_422,FB_0029_FCCS_423,FB_0046_FCCS,FB_0046_FCCS_421,FB_0046_FCCS_422,FB_0046_FCCS_423,FB_0066_FCCS,FB_0066_FCCS_421,FB_0066_FCCS_422,FB_0066_FCCS_423,FB_0087_FCCS,FB_0087_FCCS_421,FB_0087_FCCS_422,FB_0087_FCCS_423,FB_0109_FCCS,FB_0109_FCCS_421,FB_0109_FCCS_422,FB_0109_FCCS_423,FB_0291_FCCS,FB_0291_FCCS_421,FB_0291_FCCS_422,FB_0291_FCCS_423
eCANOPY_TREES_TOTAL_PERCENT_COVER,Canopy_TotalCover,0.55,,,40,22,22,22,,0,0,0,,0,0,0,80,44,44,44,85,46.75,46.75,46.75,60,33,33,33
eCANOPY_TREES_OVERSTORY_DIAMETER_AT_BREAST_HEIGHT,OTree_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,2.9,2.9,2.9,2.9,14,14,14,14,12,12,12,12
eCANOPY_TREES_OVERSTORY_HEIGHT_TO_LIVE_CROWN,OTree_HeightLiveCrown,,,,20,20,20,20,,0,0,0,,0,0,0,4,4,4,4,20,20,20,20,55,55,55,55
eCANOPY_TREES_OVERSTORY_HEIGHT,OTree_Height,,,,100,100,100,100,,0,0,0,,0,0,0,25,25,25,25,60,60,60,60,78,78,78,78
eCANOPY_TREES_OVERSTORY_PERCENT_COVER,OTree_Cover,0.55,,,40,22,22,22,,0,0,0,,0,0,0,80,44,44,44,50,27.5,27.5,27.5,50,27.5,27.5,27.5
eCANOPY_TREES_OVERSTORY_STEM_DENSITY,OTree_Density,0.55,,,12,6.6,6.6,6.6,,0,0,0,,0,0,0,3500,1925,1925,1925,45,24.75,24.75,24.75,100,55,55,55
eCANOPY_TREES_MIDSTORY_DIAMETER_AT_BREAST_HEIGHT,MTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7.5,7.5,7.5,7.5,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT_TO_LIVE_CROWN,MTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,10,10,10,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT,MTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,44,44,44,44,,0,0,0
eCANOPY_TREES_MIDSTORY_PERCENT_COVER,MTree_Cover,0.55,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,27.5,27.5,27.5,,0,0,0
eCANOPY_TREES_MIDSTORY_STEM_DENSITY,MTree_Density,0.55,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,150,82.5,82.5,82.5,,0,0,0
eCANOPY_TREES_UNDERSTORY_DIAMETER_AT_BREAST_HEIGHT,UTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,0.5,0.5,0.5,0.5,1.7,1.7,1.7,1.7,1,1,1,1
eCANOPY_TREES_UNDERSTORY_HEIGHT_TO_LIVE_CROWN,UTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
eCANOPY_TREES_UNDERSTORY_HEIGHT,UTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,1.5,1.5,1.5,1.5,10,10,10,10,5,5,5,5
eCANOPY_TREES_UNDERSTORY_PERCENT_COVER,UTree_Cover,,,,,0,0,0,,0,0,0,,0,0,0,3,3,3,3,30,30,30,30,5,5,5,5
eCANOPY_TREES_UNDERSTORY_STEM_DENSITY,UTree_Density,,,,,0,0,0,,0,0,0,,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,25,25,25,25
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_DIAMETER,C1Snag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,13,13,13,13,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_HEIGHT,C1Snag_Height,,,,,0,0,0,,0,0,0,,0,0,0,25,25,25,25,55,55,55,55,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_STEM_DENSITY,C1Snag_Density,0.55,,,,0,0,0,,0,0,0,,0,0,0,100,55,55,55,5,2.75,2.75,2.75,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT_TO_CROWN_BASE,C1FSnag_HeightCrownBase,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,33.35,33.35,33.35,33.35,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_DIAMETER,C1FSnag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,9,9,9,9,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT,C1FSnag_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,50,50,50,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_PERCENT_COVER,C1FSnag_Cover,0.55,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.5071,0.278905,0.278905,0.278905,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_STEM_DENSITY,C1FSnag_Density,0.55,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,2.75,2.75,2.75,,0,0,0
eCANOPY_SNAGS_CLASS_2_DIAMETER,C2Snag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,12,12,12,12
eCANOPY_SNAGS_CLASS_2_HEIGHT,C2Snag_Height,,,,,0,0,0,,0,0,0,,0,0,0,20,20,20,20,50,50,50,50,70,70,70,70
eCANOPY_SNAGS_CLASS_2_STEM_DENSITY,C2Snag_Density,0.55,,,,0,0,0,,0,0,0,,0,0,0,150,82.5,82.5,82.5,10,5.5,5.5,5.5,3,1.65,1.65,1.65
eCANOPY_SNAGS_CLASS_3_DIAMETER,C3Snag_Diameter,,,,9,9,9,9,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,10,10,10,10
