,Suggested Short Name,High Time Step 1 (431) Rules,Time Step 2 (432) Rules,Time Step 3 (433) Rules,FB_0029_FCCS,FB_0029_FCCS_431,FB_0029_FCCS_432,FB_0029_FCCS_433,FB_0046_FCCS,FB_0046_FCCS_431,FB_0046_FCCS_432,FB_0046_FCCS_433,FB_0066_FCCS,FB_0066_FCCS_431,FB_0066_FCCS_432,FB_0066_FCCS_433,FB_0087_FCCS,FB_0087_FCCS_431,FB_0087_FCCS_432,FB_0087_FCCS_433,FB_0109_FCCS,FB_0109_FCCS_431,FB_0109_FCCS_432,FB_0109_FCCS_433,FB_0291_FCCS,FB_0291_FCCS_431,FB_0291_FCCS_432,FB_0291_FCCS_433
eCANOPY_TREES_TOTAL_PERCENT_COVER,Canopy_TotalCover,0.25,,,40,10,10,10,,0,0,0,,0,0,0,80,20,20,20,85,21.25,21.25,21.25,60,15,15,15
eCANOPY_TREES_OVERSTORY_DIAMETER_AT_BREAST_HEIGHT,OTree_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,2.9,2.9,2.9,2.9,14,14,14,14,12,12,12,12
eCANOPY_TREES_OVERSTORY_HEIGHT_TO_LIVE_CROWN,OTree_HeightLiveCrown,,,,20,20,20,20,,0,0,0,,0,0,0,4,4,4,4,20,20,20,20,55,55,55,55
eCANOPY_TREES_OVERSTORY_HEIGHT,OTree_Height,,,,100,100,100,100,,0,0,0,,0,0,0,25,25,25,25,60,60,60,60,78,78,78,78
eCANOPY_TREES_OVERSTORY_PERCENT_COVER,OTree_Cover,0.25,,,40,10,10,10,,0,0,0,,0,0,0,80,20,20,20,50,12.5,12.5,12.5,50,12.5,12.5,12.5
eCANOPY_TREES_OVERSTORY_STEM_DENSITY,OTree_Density,0.25,,,12,3,3,3,,0,0,0,,0,0,0,3500,875,875,875,45,11.25,11.25,11.25,100,25,25,25
eCANOPY_TREES_MIDSTORY_DIAMETER_AT_BREAST_HEIGHT,MTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7.5,7.5,7.5,7.5,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT_TO_LIVE_CROWN,MTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,10,10,10,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT,MTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,44,44,44,44,,0,0,0
eCANOPY_TREES_MIDSTORY_PERCENT_COVER,MTree_Cover,0.25,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,12.5,12.5,12.5,,0,0,0
