Variable,Suggested Short Name,Mod Time Step 1 (521) Rules,Time Step 2 (522) Rules,Time Step 3 (523) Rules,FB_0029_FCCS,FB_0029_FCCS_521,FB_0029_FCCS_522,FB_0029_FCCS_523,FB_0046_FCCS,FB_0046_FCCS_521,FB_0046_FCCS_522,FB_0046_FCCS_523,FB_0066_FCCS,FB_0066_FCCS_521,FB_0066_FCCS_522,FB_0066_FCCS_523,FB_0087_FCCS,FB_0087_FCCS_521,FB_0087_FCCS_522,FB_0087_FCCS_523,FB_0109_FCCS,FB_0109_FCCS_521,FB_0109_FCCS_522,FB_0109_FCCS_523,FB_0291_FCCS,FB_0291_FCCS_521,FB_0291_FCCS_522,FB_0291_FCCS_523
eCANOPY_TREES_TOTAL_PERCENT_COVER,Canopy_TotalCover,0.6,0.9,,40,24,21.6,21.6,,0,0,0,,0,0,0,80,48,43.2,43.2,85,51,45.9,45.9,60,36,32.4,32.4
eCANOPY_TREES_OVERSTORY_DIAMETER_AT_BREAST_HEIGHT,OTree_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,2.9,2.9,2.9,2.9,14,14,14,14,12,12,12,12
eCANOPY_TREES_OVERSTORY_HEIGHT_TO_LIVE_CROWN,OTree_HeightLiveCrown,1.2,,,20,24,24,24,,0,0,0,,0,0,0,4,4.8,4.8,4.8,20,24,24,24,55,66,66,66
eCANOPY_TREES_OVERSTORY_HEIGHT,OTree_Height,,,,100,100,100,100,,0,0,0,,0,0,0,25,25,25,25,60,60,60,60,78,78,78,78
eCANOPY_TREES_OVERSTORY_PERCENT_COVER,OTree_Cover,0.6,0.9,,40,24,21.6,21.6,,0,0,0,,0,0,0,80,48,43.2,43.2,50,30,27,27,50,30,27,27
eCANOPY_TREES_OVERSTORY_STEM_DENSITY,OTree_Density,0.6,0.9,,12,7.2,6.48,6.48,,0,0,0,,0,0,0,3500,2100,1890,1890,45,27,24.3,24.3,100,60,54,54
eCANOPY_TREES_MIDSTORY_DIAMETER_AT_BREAST_HEIGHT,MTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,7.5,7.5,7.5,7.5,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT_TO_LIVE_CROWN,MTree_HeightLiveCrown,1.2,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,10,12,12,12,,0,0,0
eCANOPY_TREES_MIDSTORY_HEIGHT,MTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,44,44,44,44,,0,0,0
eCANOPY_TREES_MIDSTORY_PERCENT_COVER,MTree_Cover,0.6,0.9,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,30,27,27,,0,0,0
eCANOPY_TREES_MIDSTORY_STEM_DENSITY,MTree_Density,0.6,0.9,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,150,90,81,81,,0,0,0
eCANOPY_TREES_UNDERSTORY_DIAMETER_AT_BREAST_HEIGHT,UTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,0.5,0.5,0.5,0.5,1.7,1.7,1.7,1.7,1,1,1,1
eCANOPY_TREES_UNDERSTORY_HEIGHT_TO_LIVE_CROWN,UTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
eCANOPY_TREES_UNDERSTORY_HEIGHT,UTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,1.5,1.5,1.5,1.5,10,10,10,10,5,5,5,5
eCANOPY_TREES_UNDERSTORY_PERCENT_COVER,UTree_Cover,,,,,0,0,0,,0,0,0,,0,0,0,3,3,3,3,30,30,30,30,5,5,5,5
eCANOPY_TREES_UNDERSTORY_STEM_DENSITY,UTree_Density,,,,,0,0,0,,0,0,0,,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,25,25,25,25
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_DIAMETER,C1Snag_Diameter,, = C1FSnag_Diameter, = C1FSnag_Diameter,,0,20,20,,0,0,0,,0,0,0,3.5,3.5,4,4,13,13,33.35,33.35,,0,55,55
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_HEIGHT,C1Snag_Height,, = C1FSnag_Height, = C1FSnag_Height,,0,9.6,9.6,,0,0,0,,0,0,0,25,25,2.9,2.9,55,55,9,9,,0,12,12
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_STEM_DENSITY,C1Snag_Density,, = C1FSnag_Density, = C1FSnag_Density,,0,100,100,,0,0,0,,0,0,0,100,100,25,25,5,5,50,50,,0,78,78
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT_TO_CROWN_BASE,C1FSnag_HeightCrownBase,If not present = OTree_HeightLiveCrown,If not present = OTree_HeightLiveCrown,0,,20,20,0,,0,0,0,,0,0,0,,4,4,0,33.35,33.35,33.35,0,,55,55,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_DIAMETER,C1FSnag_Diameter,If not present = OTree_Diameter,If not present = OTree_Diameter,0,,9.6,9.6,0,,0,0,0,,0,0,0,,2.9,2.9,0,9,9,9,0,,12,12,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT,C1FSnag_Height,If not present = OTree_Height,If not present = OTree_Height,0,,100,100,0,,0,0,0,,0,0,0,,25,25,0,50,50,50,0,,78,78,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_PERCENT_COVER,C1FSnag_Cover, + =  Canopy_TotalCover * = 0.4, + =  Canopy_TotalCover * = 0.1,0,,16,18.4,0,,0,0,0,,0,0,0,,32,36.8,0,0.5071,34.5071,39.6071,0,,24,27.6,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_STEM_DENSITY,C1FSnag_Density, + = (OTree_Density * = 0.4) + (MTree_Density * = 0.4), + = (OTree_Density * = 0.1) + (MTree_Density * = 0.1),0,,4.8,5.52,0,,0,0,0,,0,0,0,,1400,1610,0,5,83,94.7,0,,40,46,0
eCANOPY_SNAGS_CLASS_2_DIAMETER,C2Snag_Diameter,, = C1Snag_Diameter, = C1Snag_Diameter,,0,0,20,,0,0,0,,0,0,0,3.5,3.5,3.5,4,11,11,13,33.35,12,12,0,55
eCANOPY_SNAGS_CLASS_2_HEIGHT,C2Snag_Height,, = C1Snag_Height, = C1Snag_Height,,0,0,9.6,,0,0,0,,0,0,0,20,20,25,2.9,50,50,55,9,70,70,0,12
eCANOPY_SNAGS_CLASS_2_STEM_DENSITY,C2Snag_Density,, = C1Snag_Density, = C1Snag_Density,,0,0,100,,0,0,0,,0,0,0,150,150,100,25,10,10,5,50,3,3,0,78
eCANOPY_SNAGS_CLASS_3_DIAMETER,C3Snag_Diameter,, = C2Snag_Diameter, = C2Snag_Diameter,9,9,9,9,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,10,10,10,10
eCANOPY_SNAGS_CLASS_3_HEIGHT,C3Snag_Height,, = C2_Height, = C2_Height,60,60,60,60,,0,0,0,,0,0,0,15,15,15,15,40,40,40,40,60,60,60,60
eCANOPY_SNAGS_CLASS_3_STEM_DENSITY,C3Snag_Density,, = C2_Density, = C2_Density,3,3,3,3,,0,0,0,,0,0,0,150,150,150,150,5,5,5,5,3,3,3,3
eCANOPY_LADDER_FUELS_MAXIMUM_HEIGHT,Ladder_MaxHeight,,,,,0,0,0,,0,0,0,,0,0,0,4,4,4,4,15,15,15,15,,0,0,0
eCANOPY_LADDER_FUELS_MINIMUM_HEIGHT,Ladder_MinHeight,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,5,5,5,5,,0,0,0
eSHRUBS_PRIMARY_LAYER_HEIGHT,1Shrub_Height,,,,2.2,2.2,2.2,2.2,5,5,5,5,3,3,3,3,5,5,5,5,6,6,6,6,5,5,5,5
eSHRUBS_PRIMARY_LAYER_PERCENT_COVER,1Shrub_Cover,,,,21.6,21.6,21.6,21.6,70,70,70,70,2,2,2,2,10,10,10,10,30,30,30,30,80,80,80,80
eSHRUBS_PRIMARY_LAYER_PERCENT_LIVE,1Shrub_Live,,,,85,85,85,85,85,85,85,85,100,100,100,100,90,90,90,90,85,85,85,85,90,90,90,90
eSHRUBS_SECONDARY_LAYER_HEIGHT,2Shrub_Height,,,,0.3,0.3,0.3,0.3,2,2,2,2,,0,0,0,1,1,1,1,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_COVER,2Shrub_Cover,,,,1.2,1.2,1.2,1.2,5,5,5,5,,0,0,0,20,20,20,20,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_LIVE,2Shrub_Live,,,,95,95,95,95,85,85,85,85,,0,0,0,90,90,90,90,,0,0,0,,0,0,0
eHERBACEOUS_PRIMARY_LAYER_HEIGHT,1Herb_Height,,,,0.9,0.9,0.9,0.9,,0,0,0,2,2,2,2,1,1,1,1,2.5,2.5,2.5,2.5,2,2,2,2
eHERBACEOUS_PRIMARY_LAYER_LOADING,1Herb_Load,,1.25,,0.1,0.1,0.125,0.125,,0,0,0,1,1,1.25,1.25,0.01,0.01,0.0125,0.0125,0.4,0.4,0.5,0.5,0.1,0.1,0.125,0.125
eHERBACEOUS_PRIMARY_LAYER_PERCENT_COVER,1Herb_Cover,,1.25,,0.7,0.7,0.875,0.875,,0,0,0,90,90,112.5,112.5,2,2,2.5,2.5,30,30,37.5,37.5,20,20,25,25
eHERBACEOUS_PRIMARY_LAYER_PERCENT_LIVE,1Herb_Live,,,,95,95,95,95,,0,0,0,85,85,85,85,90,90,90,90,80,80,80,80,60,60,60,60
eHERBACEOUS_SECONDARY_LAYER_HEIGHT,2Herb_Height,,,,0.9,0.9,0.9,0.9,,0,0,0,1,1,1,1,0.5,0.5,0.5,0.5,,0,0,0,1,1,1,1
eHERBACEOUS_SECONDARY_LAYER_LOADING,2Herb_Load,,1.25,,0.1,0.1,0.125,0.125,,0,0,0,0.01,0.01,0.0125,0.0125,0.02,0.02,0.025,0.025,,0,0,0,0.1,0.1,0.125,0.125
eHERBACEOUS_SECONDARY_LAYER_PERCENT_COVER,2Herb_Cover,,1.25,,0.2,0.2,0.25,0.25,,0,0,0,8,8,10,10,5,5,6.25,6.25,,0,0,0,20,20,25,25
eHERBACEOUS_SECONDARY_LAYER_PERCENT_LIVE,2Herb_Live,,,,85,85,85,85,,0,0,0,70,70,70,70,90,90,90,90,,0,0,0,60,60,60,60
eWOODY_FUEL_ALL_DOWNED_WOODY_FUEL_DEPTH,FineWood_Depth,,1.25,1.25,4,4,5,6.25,1,1,1.25,1.5625,,0,0,0,0.5,0.5,0.625,0.78125,1,1,1.25,1.5625,0.5,0.5,0.625,0.78125
eWOODY_FUEL_ALL_DOWNED_WOODY_FUEL_TOTAL_PERCENT_COVER,FineWood_Cover,,1.25,1.25,70,70,100,125,50,50,100,125,,0,100,125,30,30,100,125,40,40,100,125,15,15,100,125
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_ONE_TO_THREE_INCHES,SWood_100hr,,1.25,1.25,2,2,3,3.75,1,1,3,3.75,,0,3,3.75,0.5,0.5,3,3.75,1,1,3,3.75,0.3,0.3,3,3.75
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_QUARTER_INCH_TO_ONE_INCH,SWood_10hr,,1.25,1.25,1.5,1.5,2,2.5,1,1,2,2.5,,0,2,2.5,0.2,0.2,2,2.5,0.5,0.5,2,2.5,0.4,0.4,2,2.5
eWOODY_FUEL_SOUND_WOOD_LOADINGS_ZERO_TO_THREE_INCHES_ZERO_TO_QUARTER_INCH,SWood_1hr,,1.25,1.25,1,1,1.25,1.5625,0.5,0.5,1,1.25,,0,1,1.25,0.1,0.1,1,1.25,0.3,0.3,1,1.25,0.02,0.02,1,1.25
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_THREE_TO_NINE_INCHES,SWood_1000hr,,,1.25,6,6,6,7.5,0,0,0,4,,0,0,4,1,1,1,4,1.2,1.2,1.2,4,0.5,0.5,0.5,4
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_NINE_TO_TWENTY_INCHES,SWood_10_000hr,,,1.25,12,12,12,15,0,0,0,4,,0,0,4,0,0,0,4,0.5,0.5,0.5,4,0,0,0,4
eWOODY_FUEL_SOUND_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_GREATER_THAN_TWENTY_INCHES,SWood_GT10_000hr,,,1.25,0,0,0,4,0,0,0,4,,0,0,4,0,0,0,4,0.5,0.5,0.5,4,0,0,0,4
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_THREE_TO_NINE_INCHES,RWood_1000hr,,, + = SWood_1000hr * 0.25,5,5,5,6.5,,0,0,0,,0,0,0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.05,,0,0,0.125
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_NINE_TO_TWENTY_INCHES,RWood_10_000hr,,, + = SWood_10_000hr * 0.25,11,11,11,14,,0,0,0,,0,0,0,0,0,0,0,0.3,0.3,0.3,0.425,,0,0,0
eWOODY_FUEL_ROTTEN_WOOD_LOADINGS_GREATER_THAN_THREE_INCHES_GREATER_THAN_TWENTY_INCHES,RWood_GT10_000hr,,, + = SWood_GT10_000hr * 0.25,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.125,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_DIAMETER,SStump_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_HEIGHT,SStump_Height,,,,0.4,0.4,0.4,0.4,,0,0,0,,0,0,0,2,2,2,2,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_SOUND_STEM_DENSITY,SStump_Density,,,,115,115,115,115,,0,0,0,,0,0,0,50,50,50,50,,0,0,0,,0,0,0
eWOODY_FUEL_STUMPS_ROTTEN_DIAMETER,RStump_Diameter,,,,9.6,9.6,9.6,9.6,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,10,10,10,10,10,10,10,10
